iter	Passed	Remaining
0	147	147654
1	163	81401
2	169	56445
3	172	42863
4	174	34693
5	176	29263
6	182	25888
7	184	22898
8	188	20746
9	191	18931
10	193	17397
11	203	16752
12	205	15615
13	208	14657
14	214	14063
15	217	13345
16	219	12677
17	221	12071
18	223	11525
19	226	11112
20	231	10790
21	235	10449
22	237	10090
23	240	9762
24	251	9806
25	254	9517
26	256	9235
27	258	8982
28	261	8741
29	269	8729
30	272	8520
31	274	8316
32	277	8122
33	279	7940
34	294	8130
35	301	8072
36	304	7924
37	306	7765
38	309	7615
39	311	7480
40	318	7454
41	321	7325
42	323	7199
43	325	7076
44	330	7014
45	332	6904
46	335	6797
47	337	6693
48	339	6593
49	341	6495
50	347	6463
51	349	6377
52	352	6290
53	354	6209
54	356	6131
55	362	6117
56	365	6044
57	367	5973
58	369	5900
59	372	5832
60	377	5814
61	380	5749
62	382	5685
63	384	5623
64	386	5561
65	392	5548
66	394	5499
67	397	5443
68	399	5390
69	402	5341
70	414	5425
71	416	5373
72	419	5321
73	425	5320
74	427	5270
75	429	5222
76	446	5354
77	448	5306
78	451	5261
79	458	5273
80	460	5229
81	463	5186
82	464	5128
83	466	5083
84	471	5080
85	474	5040
86	476	5000
87	478	4960
88	480	4921
89	483	4884
90	489	4886
91	491	4850
92	493	4812
93	495	4777
94	497	4744
95	504	4746
96	506	4710
97	508	4678
98	510	4647
99	512	4616
100	518	4615
101	521	4586
102	523	4556
103	525	4526
104	527	4497
105	529	4469
106	534	4463
107	537	4437
108	539	4409
109	541	4382
110	543	4356
111	549	4359
112	552	4333
113	554	4308
114	556	4283
115	558	4258
116	560	4229
117	566	4233
118	568	4208
119	570	4183
120	572	4161
121	574	4133
122	576	4110
123	581	4108
124	584	4094
125	587	4074
126	588	4048
127	591	4026
128	597	4032
129	599	4013
130	602	3995
131	604	3975
132	610	3976
133	612	3957
134	614	3937
135	616	3919
136	625	3940
137	627	3922
138	630	3903
139	632	3883
140	634	3864
141	635	3839
142	637	3821
143	641	3810
144	643	3793
145	645	3776
146	647	3759
147	650	3742
148	655	3743
149	657	3726
150	660	3713
151	662	3697
152	664	3681
153	669	3678
154	672	3664
155	674	3648
156	676	3633
157	678	3617
158	681	3602
159	697	3662
160	702	3660
161	705	3651
162	708	3635
163	711	3625
164	713	3610
165	721	3623
166	723	3608
167	725	3593
168	727	3578
169	734	3585
170	736	3570
171	739	3558
172	741	3543
173	743	3529
174	748	3529
175	750	3514
176	752	3500
177	755	3486
178	757	3472
179	759	3459
180	764	3460
181	767	3448
182	769	3434
183	771	3421
184	773	3408
185	780	3414
186	784	3412
187	787	3399
188	789	3386
189	791	3374
190	799	3384
191	801	3372
192	804	3364
193	806	3352
194	813	3359
195	816	3349
196	818	3337
197	820	3325
198	823	3313
199	828	3313
200	830	3301
201	835	3299
202	837	3287
203	839	3275
204	841	3264
205	843	3252
206	846	3241
207	848	3230
208	859	3253
209	861	3242
210	864	3231
211	866	3221
212	868	3210
213	871	3200
214	875	3195
215	877	3184
216	887	3202
217	891	3196
218	893	3186
219	898	3186
220	901	3176
221	903	3165
222	914	3187
223	916	3176
224	918	3165
225	921	3156
226	923	3145
227	925	3134
228	932	3139
229	934	3129
230	936	3119
231	939	3109
232	941	3099
233	946	3097
234	948	3087
235	950	3077
236	952	3067
237	955	3057
238	960	3058
239	962	3049
240	965	3039
241	967	3031
242	969	3021
243	971	3011
244	977	3012
245	979	3003
246	982	2994
247	984	2985
248	986	2976
249	999	2999
250	1002	2990
251	1008	2992
252	1010	2982
253	1015	2981
254	1017	2974
255	1026	2982
256	1028	2974
257	1032	2968
258	1034	2958
259	1043	2970
260	1045	2961
261	1048	2952
262	1050	2943
263	1058	2949
264	1060	2941
265	1062	2932
266	1065	2924
267	1073	2931
268	1075	2922
269	1077	2914
270	1080	2906
271	1089	2915
272	1091	2907
273	1093	2898
274	1096	2891
275	1104	2896
276	1106	2888
277	1108	2879
278	1111	2873
279	1119	2879
280	1122	2871
281	1124	2863
282	1126	2854
283	1132	2854
284	1137	2853
285	1139	2845
286	1142	2837
287	1149	2842
288	1151	2833
289	1153	2824
290	1156	2816
291	1158	2809
292	1166	2815
293	1169	2807
294	1171	2799
295	1173	2791
296	1181	2797
297	1184	2789
298	1186	2781
299	1188	2773
300	1197	2780
301	1199	2772
302	1201	2764
303	1204	2756
304	1206	2749
305	1211	2748
306	1214	2741
307	1216	2733
308	1224	2738
309	1226	2730
310	1229	2723
311	1231	2715
312	1238	2718
313	1242	2714
314	1244	2706
315	1246	2698
316	1254	2702
317	1257	2695
318	1263	2697
319	1265	2690
320	1267	2681
321	1270	2674
322	1279	2681
323	1282	2674
324	1284	2667
325	1286	2660
326	1295	2667
327	1298	2659
328	1300	2652
329	1302	2645
330	1313	2654
331	1315	2646
332	1317	2639
333	1327	2647
334	1330	2640
335	1332	2633
336	1334	2625
337	1344	2633
338	1349	2631
339	1358	2637
340	1361	2630
341	1363	2623
342	1383	2650
343	1388	2647
344	1390	2640
345	1399	2644
346	1401	2636
347	1403	2628
348	1408	2627
349	1412	2622
350	1414	2615
351	1416	2607
352	1418	2600
353	1426	2602
354	1428	2595
355	1431	2589
356	1433	2582
357	1440	2584
358	1443	2576
359	1445	2569
360	1447	2562
361	1450	2555
362	1455	2554
363	1457	2547
364	1460	2540
365	1462	2533
366	1464	2525
367	1470	2525
368	1474	2521
369	1476	2513
370	1479	2508
371	1488	2513
372	1491	2506
373	1501	2512
374	1504	2506
375	1509	2504
376	1511	2498
377	1517	2497
378	1520	2490
379	1522	2483
380	1524	2476
381	1527	2470
382	1532	2468
383	1534	2462
384	1537	2455
385	1539	2448
386	1541	2441
387	1551	2447
388	1554	2441
389	1556	2434
390	1558	2428
391	1565	2428
392	1568	2422
393	1570	2415
394	1572	2409
395	1574	2402
396	1581	2401
397	1584	2396
398	1588	2392
399	1590	2385
400	1601	2392
401	1603	2385
402	1606	2379
403	1611	2377
404	1613	2370
405	1615	2364
406	1618	2357
407	1620	2351
408	1622	2344
409	1627	2342
410	1629	2335
411	1632	2329
412	1634	2322
413	1636	2316
414	1642	2315
415	1644	2309
416	1647	2303
417	1649	2296
418	1651	2290
419	1657	2289
420	1660	2283
421	1662	2277
422	1665	2271
423	1667	2265
424	1672	2263
425	1699	2290
426	1701	2283
427	1704	2277
428	1706	2271
429	1709	2266
430	1715	2265
431	1717	2258
432	1720	2252
433	1722	2246
434	1724	2240
435	1731	2240
436	1734	2234
437	1736	2228
438	1740	2224
